session_id,session_label,lap_number,lap_time_s,distance_m,track_section,sector,speed_kmh,throttle_pct,brake_pressure_pct,rpm,steering_angle_deg,battery_voltage_v,powertrain_temp_c
S01,Cool morning shakedown,1,0.0,0.0,Main Straight,Sector 1,0.0,100.0,0.0,1800.0,-1.9,391.55,34.01
S01,Cool morning shakedown,1,0.5,1.05,Main Straight,Sector 1,12.51,97.3,0.0,2820.0,-1.1,392.13,34.13
S01,Cool morning shakedown,1,1.0,3.78,Main Straight,Sector 1,24.47,100.0,0.0,3797.0,0.8,390.62,34.38
S01,Cool morning shakedown,1,1.5,8.13,Main Straight,Sector 1,35.73,95.7,0.0,4716.0,-2.2,390.09,34.75
S01,Cool morning shakedown,1,2.0,13.96,Main Straight,Sector 1,46.06,97.1,0.0,5559.0,2.1,389.41,35.23
S01,Cool morning shakedown,1,2.5,21.13,Main Straight,Sector 1,55.33,100.0,0.0,6315.0,1.7,387.91,35.81
S01,Cool morning shakedown,1,3.0,29.54,Main Straight,Sector 1,63.92,100.0,0.0,7016.0,1.0,388.83,36.48
S01,Cool morning shakedown,1,3.5,39.06,Main Straight,Sector 1,71.46,99.9,0.0,7631.0,-2.7,387.73,37.23
S01,Cool morning shakedown,1,4.0,49.56,Main Straight,Sector 1,78.19,98.7,0.0,8180.0,0.1,386.61,38.04
S01,Cool morning shakedown,1,4.5,60.92,Main Straight,Sector 1,84.1,98.0,0.0,8662.0,2.4,386.43,38.92
S01,Cool morning shakedown,1,5.0,73.03,Main Straight,Sector 1,89.24,98.5,0.0,9082.0,-3.1,385.7,39.85
S01,Cool morning shakedown,1,5.5,85.81,Main Straight,Sector 1,93.71,97.2,0.0,9447.0,0.8,386.84,40.81
S01,Cool morning shakedown,1,6.0,99.15,Main Straight,Sector 1,97.52,97.5,0.0,9757.0,-0.2,387.24,41.8
S01,Cool morning shakedown,1,6.5,112.97,Main Straight,Sector 1,100.81,100.0,0.0,10026.0,1.6,385.28,42.81
S01,Cool morning shakedown,1,7.0,127.21,Main Straight,Sector 1,103.64,94.2,0.0,10257.0,-1.8,387.12,43.83
S01,Cool morning shakedown,1,7.5,141.8,Main Straight,Sector 1,106.01,100.0,0.0,10451.0,1.5,385.33,44.88
S01,Cool morning shakedown,1,8.0,156.71,Main Straight,Sector 1,108.1,100.0,0.0,10621.0,-1.6,384.76,45.95
S01,Cool morning shakedown,1,8.5,171.44,Main Straight,Sector 1,99.48,3.2,89.7,9918.0,0.0,397.55,46.19
S01,Cool morning shakedown,1,9.0,183.64,Main Straight,Sector 1,81.8,0.7,45.4,8475.0,1.5,396.98,45.87
S01,Cool morning shakedown,1,9.5,194.22,Main Straight,Sector 1,73.28,5.9,20.0,7780.0,-0.8,398.18,45.56
S01,Cool morning shakedown,1,10.0,204.04,Main Straight,Sector 1,69.23,2.7,17.1,7449.0,-2.2,398.39,45.26
S01,Cool morning shakedown,1,10.5,213.46,Main Straight,Sector 1,67.48,0.0,19.3,7306.0,0.1,398.5,45.14
S01,Cool morning shakedown,1,11.0,222.77,Turn 1 Braking Zone,Sector 1,66.85,39.5,0.0,7255.0,-0.4,393.52,45.17
S01,Cool morning shakedown,1,11.5,231.83,Turn 1 Braking Zone,Sector 1,63.25,0.8,15.2,6961.0,-1.6,398.06,44.86
S01,Cool morning shakedown,1,12.0,240.32,Turn 1 Braking Zone,Sector 1,59.75,0.0,16.4,6675.0,-0.3,398.14,44.57
S01,Cool morning shakedown,1,12.5,248.64,Turn 1 Braking Zone,Sector 1,60.13,0.0,16.5,6707.0,1.3,398.46,44.54
S01,Cool morning shakedown,1,13.0,256.94,Turn 1 Braking Zone,Sector 1,60.22,0.2,11.2,6714.0,0.0,398.7,44.5
S01,Cool morning shakedown,1,13.5,265.22,Turn 1 Braking Zone,Sector 1,60.5,1.8,15.1,6737.0,0.0,398.33,44.46
S01,Cool morning shakedown,1,14.0,273.52,Turn 1 Braking Zone,Sector 1,60.76,3.0,16.6,6758.0,1.9,398.62,44.43
S01,Cool morning shakedown,1,14.5,281.82,Turn 1 Medium Left,Sector 1,59.04,33.5,0.0,6617.0,-3.1,394.27,44.33
S01,Cool morning shakedown,1,15.0,290.06,Turn 1 Medium Left,Sector 1,58.74,36.5,0.0,6593.0,-18.8,395.1,44.21
S01,Cool morning shakedown,1,15.5,298.3,Turn 1 Medium Left,Sector 1,58.85,37.1,0.0,6602.0,-34.1,394.91,44.08
S01,Cool morning shakedown,1,16.0,306.55,Turn 1 Medium Left,Sector 1,58.8,42.7,0.0,6598.0,-49.7,393.48,43.98
S01,Cool morning shakedown,1,16.5,314.81,Turn 1 Medium Left,Sector 1,58.89,35.2,0.0,6605.0,-61.1,394.2,43.87
S01,Cool morning shakedown,1,17.0,323.05,Turn 1 Medium Left,Sector 1,59.01,37.5,0.0,6615.0,-68.3,395.19,43.76
S01,Cool morning shakedown,1,17.5,331.31,Turn 1 Medium Left,Sector 1,59.21,34.9,0.0,6632.0,-70.8,394.49,43.64
