session_id,lap_a,lap_b,distance_m,track_section,speed_a_kmh,speed_b_kmh,speed_delta_kmh,throttle_a_pct,throttle_b_pct,throttle_delta_pct,brake_a_pct,brake_b_pct,brake_delta_pct,elapsed_a_s,elapsed_b_s,time_delta_s,delta_rate_s_per_100m
S02,2,3,0.0,Main Straight,73.35,73.4,0.05,97.5,99.8,2.3,0.0,0.0,0.0,0.0,0.0,0.0,
S02,2,3,5.0,Main Straight,76.52,76.59,0.07,99.6,97.8,-1.9,0.0,0.0,0.0,0.238,0.238,0.0,0.0
S02,2,3,10.0,Main Straight,79.43,79.45,0.02,100.0,100.0,0.0,0.0,0.0,0.0,0.467,0.467,0.0,0.0
S02,2,3,15.0,Main Straight,82.04,82.1,0.06,99.5,96.8,-2.6,0.0,0.0,0.0,0.688,0.688,0.0,0.0
S02,2,3,20.0,Main Straight,84.46,84.49,0.02,100.0,99.0,-1.0,0.0,0.0,0.0,0.903,0.903,0.0,0.0
S02,2,3,25.0,Main Straight,86.69,86.7,0.01,99.2,97.3,-1.9,0.0,0.0,0.0,1.112,1.112,0.0,0.0
S02,2,3,30.0,Main Straight,88.73,88.71,-0.02,96.9,99.9,3.0,0.0,0.0,0.0,1.316,1.316,0.0,0.0
S02,2,3,35.0,Main Straight,90.6,90.6,-0.0,100.0,95.9,-4.1,0.0,0.0,0.0,1.516,1.515,-0.001,-0.02
S02,2,3,40.0,Main Straight,92.37,92.32,-0.05,99.8,98.9,-0.8,0.0,0.0,0.0,1.712,1.711,-0.001,0.0
S02,2,3,45.0,Main Straight,93.98,93.94,-0.04,97.6,100.0,2.4,0.0,0.0,0.0,1.904,1.903,-0.001,0.0
S02,2,3,50.0,Main Straight,95.47,95.47,-0.0,99.9,100.0,0.1,0.0,0.0,0.0,2.093,2.093,0.0,0.02
S02,2,3,55.0,Main Straight,96.88,96.89,0.02,98.2,100.0,1.8,0.0,0.0,0.0,2.279,2.279,0.0,0.0
S02,2,3,60.0,Main Straight,98.18,98.21,0.03,100.0,99.6,-0.4,0.0,0.0,0.0,2.463,2.463,0.0,0.0
S02,2,3,65.0,Main Straight,99.42,99.45,0.03,98.5,100.0,1.5,0.0,0.0,0.0,2.645,2.644,-0.001,-0.02
S02,2,3,70.0,Main Straight,100.55,100.6,0.05,96.0,98.0,2.0,0.0,0.0,0.0,2.824,2.824,0.0,0.02
S02,2,3,75.0,Main Straight,101.6,101.68,0.08,99.9,98.1,-1.8,0.0,0.0,0.0,3.002,3.001,-0.001,-0.02
S02,2,3,80.0,Main Straight,102.6,102.67,0.07,98.9,98.7,-0.2,0.0,0.0,0.0,3.178,3.177,-0.001,0.0
S02,2,3,85.0,Main Straight,103.55,103.62,0.07,100.0,100.0,0.0,0.0,0.0,0.0,3.352,3.351,-0.001,0.0
S02,2,3,90.0,Main Straight,104.45,104.52,0.06,100.0,99.8,-0.2,0.0,0.0,0.0,3.524,3.524,0.0,0.02
S02,2,3,95.0,Main Straight,105.31,105.36,0.05,97.9,100.0,2.1,0.0,0.0,0.0,3.696,3.695,-0.001,-0.02
S02,2,3,100.0,Main Straight,106.09,106.15,0.06,99.8,99.4,-0.4,0.0,0.0,0.0,3.865,3.864,-0.001,0.0
S02,2,3,105.0,Main Straight,106.84,106.89,0.05,99.7,98.6,-1.2,0.0,0.0,0.0,4.034,4.033,-0.001,0.0
S02,2,3,110.0,Main Straight,107.55,107.58,0.03,96.0,96.8,0.8,0.0,0.0,0.0,4.202,4.201,-0.001,0.0
S02,2,3,115.0,Main Straight,108.19,108.23,0.04,99.7,98.9,-0.9,0.0,0.0,0.0,4.368,4.367,-0.001,0.0
S02,2,3,120.0,Main Straight,108.81,108.85,0.04,98.7,99.7,1.0,0.0,0.0,0.0,4.534,4.533,-0.001,0.0
S02,2,3,125.0,Main Straight,109.4,109.43,0.04,100.0,100.0,-0.0,0.0,0.0,0.0,4.699,4.697,-0.002,-0.02
S02,2,3,130.0,Main Straight,109.96,109.99,0.04,96.2,100.0,3.8,0.0,0.0,0.0,4.863,4.861,-0.002,0.0
S02,2,3,135.0,Main Straight,110.46,110.52,0.06,98.2,99.8,1.6,0.0,0.0,0.0,5.026,5.024,-0.002,0.0
S02,2,3,140.0,Main Straight,110.94,111.02,0.08,99.8,100.0,0.2,0.0,0.0,0.0,5.188,5.186,-0.002,0.0
S02,2,3,145.0,Main Straight,111.41,111.48,0.07,98.8,99.3,0.5,0.0,0.0,0.0,5.35,5.348,-0.002,0.0
S02,2,3,150.0,Main Straight,111.86,111.92,0.07,98.1,99.8,1.7,0.0,0.0,0.0,5.511,5.509,-0.002,0.0
S02,2,3,155.0,Main Straight,112.26,112.34,0.07,97.1,99.2,2.1,0.0,0.0,0.0,5.671,5.669,-0.002,0.0
