session_id,session_label,lap_number,sector,sector_time_s,avg_speed_kmh,min_speed_kmh,max_speed_kmh,avg_throttle_pct,peak_brake_pct,gap_to_sector_best_s
S01,Cool morning shakedown,1,Sector 1,21.1,66.37,0.0,109.21,50.76,97.2,2.3
S01,Cool morning shakedown,1,Sector 2,17.9,62.43,51.21,93.9,34.37,100.0,0.4
S01,Cool morning shakedown,1,Sector 3,24.4,58.83,35.46,111.31,45.41,100.0,0.1
S01,Cool morning shakedown,2,Sector 1,19.0,74.16,58.39,110.16,43.37,100.0,0.2
S01,Cool morning shakedown,2,Sector 2,17.8,62.73,51.95,94.9,34.97,100.0,0.3
S01,Cool morning shakedown,2,Sector 3,24.3,59.2,35.92,111.27,45.57,100.0,0.0
S01,Cool morning shakedown,3,Sector 1,18.9,74.63,58.72,110.86,43.58,100.0,0.1
S01,Cool morning shakedown,3,Sector 2,17.5,63.65,52.61,96.03,35.68,99.9,0.0
S01,Cool morning shakedown,3,Sector 3,24.5,58.68,35.46,111.23,45.27,100.0,0.2
S01,Cool morning shakedown,4,Sector 1,18.9,74.54,58.71,110.75,43.57,100.0,0.1
S01,Cool morning shakedown,4,Sector 2,17.5,63.69,52.68,96.25,35.9,100.0,0.0
S01,Cool morning shakedown,4,Sector 3,24.6,58.52,35.01,111.41,45.31,100.0,0.3
S01,Cool morning shakedown,5,Sector 1,18.9,74.35,58.68,110.48,43.67,99.3,0.1
S01,Cool morning shakedown,5,Sector 2,17.6,63.7,52.47,95.98,36.21,100.0,0.1
S01,Cool morning shakedown,5,Sector 3,24.6,58.37,35.42,111.09,45.13,100.0,0.3
S01,Cool morning shakedown,6,Sector 1,19.0,74.08,58.24,109.71,42.86,100.0,0.2
S01,Cool morning shakedown,6,Sector 2,17.8,62.67,51.66,94.19,34.87,100.0,0.3
S01,Cool morning shakedown,6,Sector 3,24.5,58.78,35.71,111.17,45.29,100.0,0.2
S01,Cool morning shakedown,7,Sector 1,18.9,74.42,58.61,110.45,43.69,100.0,0.1
S01,Cool morning shakedown,7,Sector 2,17.9,62.48,51.39,94.1,34.56,100.0,0.4
S01,Cool morning shakedown,7,Sector 3,24.3,59.05,36.11,111.02,45.5,100.0,0.0
S01,Cool morning shakedown,8,Sector 1,18.8,75.01,59.36,111.88,44.41,100.0,0.0
S01,Cool morning shakedown,8,Sector 2,17.8,62.47,51.49,93.88,33.77,100.0,0.3
S01,Cool morning shakedown,8,Sector 3,24.4,59.17,35.82,111.12,45.81,100.0,0.1
S02,Baseline practice,1,Sector 1,20.4,68.52,0.0,109.24,51.32,99.6,2.5
S02,Baseline practice,1,Sector 2,16.9,66.31,55.02,99.58,34.7,100.0,0.3
S02,Baseline practice,1,Sector 3,23.5,61.16,37.85,111.51,46.7,100.0,0.4
S02,Baseline practice,2,Sector 1,17.9,78.68,62.54,112.8,45.36,100.0,0.0
S02,Baseline practice,2,Sector 2,16.8,66.31,54.78,99.69,35.26,100.0,0.2
S02,Baseline practice,2,Sector 3,23.1,62.36,37.93,112.1,47.92,100.0,0.0
S02,Baseline practice,3,Sector 1,18.1,77.92,62.47,112.9,44.78,98.4,0.2
S02,Baseline practice,3,Sector 2,16.6,67.15,55.32,100.11,35.34,100.0,0.0
S02,Baseline practice,3,Sector 3,23.5,61.27,37.68,111.55,46.57,100.0,0.4
S02,Baseline practice,4,Sector 1,18.1,77.87,62.35,112.84,45.36,100.0,0.2
S02,Baseline practice,4,Sector 2,16.6,67.21,55.29,100.27,35.63,100.0,0.0
S02,Baseline practice,4,Sector 3,23.2,62.14,38.18,111.86,47.3,100.0,0.1
S02,Baseline practice,5,Sector 1,18.1,77.8,62.24,112.89,45.07,100.0,0.2
S02,Baseline practice,5,Sector 2,16.6,67.3,55.58,99.95,35.19,98.9,0.0
S02,Baseline practice,5,Sector 3,23.4,61.49,37.74,111.59,46.67,100.0,0.3
S02,Baseline practice,6,Sector 1,18.0,78.09,62.4,112.8,45.58,100.0,0.1
S02,Baseline practice,6,Sector 2,16.6,67.34,55.71,100.07,35.46,100.0,0.0
S02,Baseline practice,6,Sector 3,23.2,62.18,38.1,111.81,47.39,100.0,0.1
S02,Baseline practice,7,Sector 1,17.9,78.7,62.56,112.79,45.72,99.6,0.0
S02,Baseline practice,7,Sector 2,16.6,67.21,55.33,100.0,35.25,100.0,0.0
S02,Baseline practice,7,Sector 3,23.5,61.28,37.89,111.5,46.74,100.0,0.4
S02,Baseline practice,8,Sector 1,18.1,77.91,62.3,112.87,45.51,100.0,0.2
S02,Baseline practice,8,Sector 2,16.6,67.23,55.45,100.07,35.34,100.0,0.0
S02,Baseline practice,8,Sector 3,23.2,62.07,38.09,111.79,47.19,100.0,0.1
S03,Hot afternoon running,1,Sector 1,20.1,69.68,0.0,109.89,52.65,100.0,2.7
S03,Hot afternoon running,1,Sector 2,16.3,68.39,56.48,100.16,35.18,100.0,0.1
S03,Hot afternoon running,1,Sector 3,22.9,62.98,38.91,111.98,48.08,100.0,0.1
S03,Hot afternoon running,2,Sector 1,17.7,79.5,63.36,112.79,44.76,97.0,0.3
S03,Hot afternoon running,2,Sector 2,16.3,68.59,56.88,100.4,35.5,100.0,0.1
S03,Hot afternoon running,2,Sector 3,22.8,62.99,38.81,112.03,48.0,100.0,0.0
S03,Hot afternoon running,3,Sector 1,17.8,79.18,62.89,112.81,45.03,98.0,0.4
S03,Hot afternoon running,3,Sector 2,16.2,68.76,57.22,100.33,35.93,99.7,0.0
S03,Hot afternoon running,3,Sector 3,22.9,62.92,38.75,112.03,47.82,100.0,0.1
S03,Hot afternoon running,4,Sector 1,17.4,80.85,64.91,112.87,45.85,98.5,0.0
S03,Hot afternoon running,4,Sector 2,16.3,68.67,57.16,100.24,35.59,99.8,0.1
S03,Hot afternoon running,4,Sector 3,22.8,63.09,38.72,112.1,48.12,100.0,0.0
S03,Hot afternoon running,5,Sector 1,17.6,79.84,63.72,112.81,45.7,99.5,0.2
S03,Hot afternoon running,5,Sector 2,16.3,68.59,56.65,100.38,35.35,100.0,0.1
S03,Hot afternoon running,5,Sector 3,22.8,63.16,38.81,112.05,48.3,100.0,0.0
S03,Hot afternoon running,6,Sector 1,17.7,79.63,63.29,112.91,44.84,100.0,0.3
S03,Hot afternoon running,6,Sector 2,16.4,67.93,55.95,100.35,35.76,100.0,0.2
S03,Hot afternoon running,6,Sector 3,22.9,62.88,38.68,111.87,47.84,100.0,0.1
S03,Hot afternoon running,7,Sector 1,17.5,80.34,64.31,112.9,45.35,99.8,0.1
S03,Hot afternoon running,7,Sector 2,16.4,68.34,56.23,100.49,35.06,100.0,0.2
S03,Hot afternoon running,7,Sector 3,22.8,63.03,38.96,111.87,48.21,100.0,0.0
S03,Hot afternoon running,8,Sector 1,17.7,79.57,63.46,112.74,44.93,98.2,0.3
S03,Hot afternoon running,8,Sector 2,16.4,68.06,56.58,100.0,35.25,100.0,0.2
S03,Hot afternoon running,8,Sector 3,22.9,62.82,38.7,112.0,48.09,100.0,0.1
