session_id,lap_number,session_time_s,lap_time_s,distance_m,track_section,sector,speed_kmh,throttle_pct,brake_pressure_pct,rpm,steering_angle_deg,battery_voltage_v,powertrain_temp_c
S01,1,0.0,0.0,0.0,Main Straight,Sector 1,0.0,100.0,0.0,1800.0,-1.9,391.55,34.01
S01,1,0.1,0.1,0.07,Main Straight,Sector 1,2.53,100.0,0.0,2006.0,0.2,392.04,34.02
S01,1,0.2,0.2,0.21,Main Straight,Sector 1,5.05,100.0,0.0,2212.0,0.3,392.3,34.04
S01,1,0.3,0.3,0.42,Main Straight,Sector 1,7.56,99.7,0.0,2417.0,-1.0,391.62,34.07
S01,1,0.4,0.4,0.7,Main Straight,Sector 1,10.05,99.1,0.0,2620.0,2.6,391.2,34.1
S01,1,0.5,0.5,1.05,Main Straight,Sector 1,12.51,97.3,0.0,2820.0,-1.1,392.13,34.13
S01,1,0.6,0.6,1.46,Main Straight,Sector 1,14.9,99.3,0.0,3015.0,-4.1,390.95,34.17
S01,1,0.7,0.7,1.94,Main Straight,Sector 1,17.31,100.0,0.0,3213.0,-3.7,391.94,34.21
S01,1,0.8,0.8,2.49,Main Straight,Sector 1,19.73,100.0,0.0,3410.0,2.1,390.55,34.27
S01,1,0.9,0.9,3.1,Main Straight,Sector 1,22.11,100.0,0.0,3604.0,0.5,390.78,34.32
S01,1,1.0,1.0,3.78,Main Straight,Sector 1,24.47,100.0,0.0,3797.0,0.8,390.62,34.38
S01,1,1.1,1.1,4.53,Main Straight,Sector 1,26.8,100.0,0.0,3987.0,0.8,389.75,34.45
S01,1,1.2,1.2,5.34,Main Straight,Sector 1,29.1,97.5,0.0,4174.0,1.0,391.14,34.52
S01,1,1.3,1.3,6.21,Main Straight,Sector 1,31.3,100.0,0.0,4354.0,0.0,390.17,34.59
S01,1,1.4,1.4,7.14,Main Straight,Sector 1,33.53,100.0,0.0,4536.0,2.1,389.77,34.67
S01,1,1.5,1.5,8.13,Main Straight,Sector 1,35.73,95.7,0.0,4716.0,-2.2,390.09,34.75
S01,1,1.6,1.6,9.18,Main Straight,Sector 1,37.8,100.0,0.0,4884.0,-0.4,389.37,34.84
S01,1,1.7,1.7,10.29,Main Straight,Sector 1,39.92,100.0,0.0,5058.0,0.5,389.07,34.93
S01,1,1.8,1.8,11.46,Main Straight,Sector 1,42.02,98.7,0.0,5229.0,-0.3,389.74,35.03
S01,1,1.9,1.9,12.68,Main Straight,Sector 1,44.04,100.0,0.0,5394.0,-0.5,389.18,35.13
S01,1,2.0,2.0,13.96,Main Straight,Sector 1,46.06,97.1,0.0,5559.0,2.1,389.41,35.23
S01,1,2.1,2.1,15.29,Main Straight,Sector 1,47.98,94.0,0.0,5715.0,1.6,389.53,35.33
S01,1,2.2,2.2,16.68,Main Straight,Sector 1,49.8,96.1,0.0,5863.0,-2.4,388.99,35.44
S01,1,2.3,2.3,18.11,Main Straight,Sector 1,51.63,100.0,0.0,6013.0,2.0,388.8,35.56
S01,1,2.4,2.4,19.6,Main Straight,Sector 1,53.5,100.0,0.0,6165.0,1.3,389.24,35.68
S01,1,2.5,2.5,21.13,Main Straight,Sector 1,55.33,100.0,0.0,6315.0,1.7,387.91,35.81
S01,1,2.6,2.6,22.72,Main Straight,Sector 1,57.12,100.0,0.0,6461.0,3.6,388.67,35.93
S01,1,2.7,2.7,24.35,Main Straight,Sector 1,58.88,100.0,0.0,6605.0,2.2,388.61,36.07
S01,1,2.8,2.8,26.04,Main Straight,Sector 1,60.6,100.0,0.0,6745.0,-0.6,388.47,36.2
S01,1,2.9,2.9,27.77,Main Straight,Sector 1,62.28,100.0,0.0,6882.0,1.4,386.95,36.34
