session_id,lap_number,lap_time_s,sample_count,avg_speed_kmh,max_speed_kmh,min_speed_kmh,peak_rpm,avg_throttle_pct,full_throttle_pct,peak_brake_pct,braking_events,peak_temp_c,avg_temp_c,min_voltage_v,max_abs_steering_deg,lap_rank_in_session,gap_to_session_best_s
S01,1,63.3,634,62.35,111.31,0.0,10883.0,44.07,31.23,100.0,3,54.75,46.08,383.55,122.7,8,2.5
S01,2,61.0,611,64.88,111.27,35.92,10880.0,41.8,28.64,100.0,3,59.95,53.9,383.67,126.2,4,0.2
S01,3,60.8,609,65.06,111.23,35.46,10877.0,41.99,28.57,100.0,3,61.69,56.16,382.81,123.6,1,0.0
S01,4,60.9,610,64.97,111.41,35.01,10891.0,42.07,28.85,100.0,3,62.33,56.76,381.65,121.0,2,0.1
S01,5,61.0,611,64.85,111.09,35.42,10865.0,42.11,28.81,100.0,3,62.5,56.89,381.76,121.2,4,0.2
S01,6,61.2,613,64.65,111.17,35.71,10871.0,41.51,28.38,100.0,3,62.19,56.45,381.25,121.7,7,0.4
S01,7,61.0,611,64.81,111.02,36.11,10859.0,41.74,28.64,100.0,3,62.19,56.43,381.13,122.4,4,0.2
S01,8,60.9,610,65.02,111.88,35.82,10930.0,41.87,28.52,100.0,4,62.66,56.64,380.08,123.0,2,0.1
S02,1,60.7,608,65.06,111.51,0.0,10899.0,44.92,30.76,100.0,4,60.22,51.4,384.05,121.7,8,3.0
S02,2,57.7,578,68.56,112.8,37.93,11005.0,43.45,28.2,100.0,3,66.97,60.73,383.13,123.6,1,0.0
S02,3,58.1,582,68.13,112.9,37.68,11013.0,42.81,27.66,100.0,3,69.14,63.33,383.08,123.3,7,0.4
S02,4,57.8,579,68.51,112.84,38.18,11008.0,43.35,27.98,100.0,3,69.74,63.94,382.21,123.3,3,0.1
S02,5,58.0,581,68.23,112.89,37.74,11012.0,42.89,27.88,100.0,3,70.37,64.18,381.66,123.5,6,0.3
S02,6,57.7,578,68.62,112.8,38.1,11004.0,43.4,27.85,100.0,3,70.15,64.25,381.35,122.4,1,0.0
S02,7,57.9,580,68.35,112.79,37.89,11004.0,43.14,27.76,100.0,3,70.46,64.41,380.81,125.9,5,0.2
S02,8,57.8,579,68.5,112.87,38.09,11010.0,43.26,27.98,100.0,3,70.28,64.29,380.51,122.3,3,0.1
S03,1,59.2,593,66.73,111.98,0.0,10938.0,46.08,31.2,100.0,3,73.09,63.97,383.61,123.9,8,2.8
S03,2,56.7,568,69.74,112.79,38.81,11003.0,43.4,27.99,100.0,3,79.54,73.45,383.35,122.0,4,0.3
S03,3,56.8,569,69.67,112.81,38.75,11006.0,43.56,27.94,100.0,3,81.54,76.11,382.75,122.3,5,0.4
S03,4,56.4,565,70.17,112.87,38.72,11010.0,43.8,28.14,100.0,3,82.76,77.02,382.22,123.1,1,0.0
S03,5,56.6,567,69.9,112.81,38.81,11005.0,43.77,28.04,100.0,3,83.22,77.28,381.63,122.1,2,0.2
S03,6,56.9,570,69.53,112.91,38.68,11013.0,43.43,27.89,100.0,4,83.37,77.19,381.63,123.5,6,0.5
S03,7,56.6,567,69.91,112.9,38.96,11013.0,43.52,27.69,100.0,3,83.17,77.12,380.34,121.6,2,0.2
S03,8,56.9,570,69.53,112.74,38.7,11000.0,43.41,27.72,100.0,3,83.1,77.04,380.4,120.8,6,0.5
S04,1,59.7,598,66.12,111.84,0.0,10926.0,45.71,31.1,100.0,3,81.49,68.62,383.64,123.7,8,2.8
S04,2,57.1,572,69.27,112.94,38.48,11016.0,43.76,28.5,100.0,3,103.3,94.13,383.16,124.5,2,0.2
S04,3,57.7,578,68.54,112.81,38.29,11005.0,43.13,27.85,100.0,3,115.15,107.97,382.92,124.3,6,0.8
S04,4,57.8,579,68.47,112.72,37.85,10998.0,42.76,27.29,100.0,3,121.63,115.6,381.54,124.6,7,0.9
S04,5,57.3,574,69.1,112.88,38.03,11011.0,43.34,27.87,100.0,3,125.47,119.72,382.0,122.8,5,0.4
S04,6,57.2,573,69.14,112.88,38.3,11011.0,43.3,27.92,100.0,4,127.83,122.39,381.1,120.1,3,0.3
S04,7,56.9,570,69.5,112.83,38.41,11007.0,43.44,27.89,100.0,3,129.55,124.23,380.67,125.1,1,0.0
S04,8,57.2,573,69.19,112.87,38.17,11010.0,43.33,27.92,100.0,3,130.95,125.22,380.21,122.0,3,0.3
S05,1,57.6,577,68.57,112.32,0.0,10965.0,46.77,31.72,100.0,3,64.47,55.21,384.02,123.0,8,2.3
S05,2,55.4,555,71.45,112.9,40.12,11012.0,43.88,27.93,100.0,3,71.13,65.13,383.23,121.7,3,0.1
S05,3,55.5,556,71.29,112.89,40.16,11012.0,43.65,27.7,100.0,3,73.28,67.83,383.11,121.8,7,0.2
S05,4,55.3,554,71.55,112.92,40.26,11014.0,43.55,27.44,100.0,3,74.33,68.46,382.25,126.8,1,0.0
S05,5,55.4,555,71.45,112.83,40.29,11007.0,43.69,27.75,100.0,3,74.54,68.68,381.97,122.2,3,0.1
S05,6,55.4,555,71.41,112.86,40.18,11009.0,43.68,27.75,100.0,4,74.71,68.73,381.45,121.5,3,0.1
S05,7,55.3,554,71.57,112.94,40.51,11016.0,43.79,27.62,100.0,3,74.84,68.85,380.42,123.1,1,0.0
S05,8,55.4,555,71.39,112.9,40.08,11013.0,43.81,27.57,100.0,3,74.89,68.92,380.11,121.8,3,0.1
S06,1,59.0,591,66.98,112.04,0.0,10943.0,46.2,31.47,100.0,3,63.14,54.01,369.58,122.8,8,2.9
S06,2,56.3,564,70.31,112.78,39.29,11003.0,43.61,27.84,100.0,3,69.72,63.65,368.71,121.4,2,0.2
S06,3,56.1,562,70.54,112.77,39.14,11002.0,43.7,27.94,100.0,3,71.69,66.33,368.5,126.1,1,0.0
S06,4,56.6,567,69.96,112.91,38.82,11013.0,43.78,27.87,100.0,3,73.12,67.24,367.42,123.0,7,0.5
S06,5,56.5,566,70.05,112.74,39.35,11000.0,43.68,27.92,100.0,3,73.21,67.27,366.85,124.3,6,0.4
S06,6,56.4,565,70.17,112.83,39.24,11007.0,43.52,27.61,100.0,4,73.35,67.28,367.48,122.8,4,0.3
S06,7,56.4,565,70.17,112.81,39.09,11006.0,43.55,27.96,100.0,3,73.23,67.27,366.29,121.6,4,0.3
S06,8,56.3,564,70.31,112.79,39.37,11004.0,43.71,28.01,100.0,4,73.28,67.34,366.04,121.5,2,0.2
