session_id,lap_number,sector,sector_time_s,avg_speed_kmh,min_speed_kmh,max_speed_kmh,avg_throttle_pct,peak_brake_pct,gap_to_sector_best_s
S01,1,Sector 1,21.3,65.88,0.0,109.2,50.54,100.0,2.5
S01,1,Sector 2,17.9,62.23,51.21,93.75,34.96,100.0,0.3
S01,1,Sector 3,24.7,58.4,35.12,111.25,45.05,100.0,0.4
S01,2,Sector 1,18.9,74.48,58.71,110.8,44.06,100.0,0.1
S01,2,Sector 2,17.7,62.99,52.08,95.07,35.1,100.0,0.1
S01,2,Sector 3,24.4,59.07,35.66,111.36,45.51,100.0,0.1
S01,3,Sector 1,18.8,74.97,59.04,111.54,44.58,100.0,0.0
S01,3,Sector 2,17.6,63.29,52.41,95.63,34.94,99.9,0.0
S01,3,Sector 3,24.3,59.12,35.89,111.21,45.64,100.0,0.0
S01,4,Sector 1,19.0,73.98,58.12,109.48,42.28,100.0,0.2
S01,4,Sector 2,18.0,62.23,51.29,93.9,34.72,100.0,0.4
S01,4,Sector 3,24.7,58.34,35.19,111.17,45.25,100.0,0.4
S01,5,Sector 1,18.9,74.63,58.74,110.91,44.42,100.0,0.1
S01,5,Sector 2,17.7,63.04,52.07,95.03,35.09,99.6,0.1
S01,5,Sector 3,24.3,59.11,35.67,111.35,45.31,100.0,0.0
S01,6,Sector 1,18.8,74.74,58.87,111.16,44.08,100.0,0.0
S01,6,Sector 2,17.7,63.21,52.18,94.83,35.74,100.0,0.1
S01,6,Sector 3,24.3,59.23,35.75,111.4,45.44,100.0,0.0
S01,7,Sector 1,18.8,74.83,58.97,111.11,44.57,99.9,0.0
S01,7,Sector 2,17.7,63.07,52.12,95.19,35.11,100.0,0.1
S01,7,Sector 3,24.4,59.07,35.69,111.3,45.32,100.0,0.1
S01,8,Sector 1,19.0,74.04,58.22,109.74,42.64,100.0,0.2
S01,8,Sector 2,17.9,62.5,51.55,94.08,34.86,99.1,0.3
S01,8,Sector 3,24.6,58.58,35.28,111.21,45.42,100.0,0.3
S02,1,Sector 1,20.4,68.66,0.0,109.23,51.45,95.9,2.5
S02,1,Sector 2,16.8,66.42,55.11,99.74,34.92,98.9,0.2
S02,1,Sector 3,23.5,61.27,37.85,111.47,46.62,100.0,0.4
S02,2,Sector 1,18.1,77.88,62.26,112.94,45.3,100.0,0.2
S02,2,Sector 2,16.8,66.3,55.12,99.56,35.17,100.0,0.2
S02,2,Sector 3,23.5,61.31,37.82,111.58,46.73,100.0,0.4
S02,3,Sector 1,17.9,78.66,62.62,112.89,45.42,99.5,0.0
S02,3,Sector 2,16.6,67.17,55.36,100.03,35.4,100.0,0.0
S02,3,Sector 3,23.1,62.43,38.01,112.07,47.46,100.0,0.0
S02,4,Sector 1,18.1,77.68,62.21,112.72,45.28,100.0,0.2
S02,4,Sector 2,16.9,66.22,55.11,99.65,34.98,99.2,0.3
S02,4,Sector 3,23.4,61.42,37.82,111.6,46.75,100.0,0.3
S02,5,Sector 1,18.1,77.86,62.09,112.93,45.27,100.0,0.2
S02,5,Sector 2,16.9,66.14,55.03,99.68,35.07,100.0,0.3
S02,5,Sector 3,23.6,60.93,37.82,111.32,46.11,100.0,0.5
S02,6,Sector 1,18.0,78.07,62.38,112.78,45.48,100.0,0.1
S02,6,Sector 2,16.8,66.46,55.24,99.7,35.07,100.0,0.2
S02,6,Sector 3,23.6,61.19,37.95,111.36,46.53,100.0,0.5
S02,7,Sector 1,18.1,77.93,62.37,112.72,45.13,100.0,0.2
S02,7,Sector 2,16.8,66.35,55.21,99.81,35.21,100.0,0.2
S02,7,Sector 3,23.4,61.49,37.93,111.64,46.77,100.0,0.3
S02,8,Sector 1,18.1,77.81,62.1,112.82,45.13,97.1,0.2
S02,8,Sector 2,16.8,66.36,55.12,99.67,34.95,100.0,0.2
S02,8,Sector 3,23.6,61.08,37.86,111.44,46.44,100.0,0.5
S03,1,Sector 1,20.1,69.78,0.0,109.9,52.58,99.6,2.5
S03,1,Sector 2,16.5,67.68,56.13,100.29,35.42,100.0,0.2
S03,1,Sector 3,22.9,62.78,38.54,112.03,47.98,100.0,0.1
S03,2,Sector 1,17.6,79.96,63.81,112.88,45.23,94.7,0.0
S03,2,Sector 2,16.4,68.06,56.26,100.26,35.49,100.0,0.1
S03,2,Sector 3,22.8,63.04,38.79,112.08,48.0,100.0,0.0
S03,3,Sector 1,17.6,79.86,63.72,112.8,45.23,100.0,0.0
S03,3,Sector 2,16.4,68.27,56.38,100.36,35.22,100.0,0.1
S03,3,Sector 3,22.8,62.96,38.75,111.97,48.15,100.0,0.0
S03,4,Sector 1,17.6,79.96,63.71,112.93,45.58,98.7,0.0
S03,4,Sector 2,16.4,68.17,56.48,100.27,35.65,100.0,0.1
S03,4,Sector 3,22.8,62.99,38.82,112.06,48.12,100.0,0.0
