session_id,lap_number,session_time_s,lap_time_s,distance_m,track_section,sector,speed_kmh,throttle_pct,brake_pressure_pct,rpm,steering_angle_deg,battery_voltage_v,powertrain_temp_c
S01,1,0.0,0.0,0.0,Main Straight,Sector 1,0.0,100.0,0.0,1800.0,1.0,392.28,34.01
S01,1,0.1,0.1,0.07,Main Straight,Sector 1,2.53,100.0,0.0,2006.0,-1.9,391.38,34.02
S01,1,0.2,0.2,0.21,Main Straight,Sector 1,5.05,100.0,0.0,2212.0,0.2,391.87,34.04
S01,1,0.3,0.3,0.42,Main Straight,Sector 1,7.56,100.0,0.0,2417.0,0.3,392.13,34.07
S01,1,0.4,0.4,0.7,Main Straight,Sector 1,10.06,99.7,0.0,2621.0,-1.0,391.46,34.1
S01,1,0.5,0.5,1.05,Main Straight,Sector 1,12.53,99.1,0.0,2822.0,2.6,391.03,34.13
S01,1,0.6,0.6,1.46,Main Straight,Sector 1,14.97,97.3,0.0,3021.0,-1.1,391.97,34.17
S01,1,0.7,0.7,1.95,Main Straight,Sector 1,17.33,99.3,0.0,3214.0,-4.1,390.78,34.21
S01,1,0.8,0.8,2.49,Main Straight,Sector 1,19.73,100.0,0.0,3410.0,-3.7,391.78,34.27
S01,1,0.9,0.9,3.11,Main Straight,Sector 1,22.11,100.0,0.0,3604.0,2.1,390.39,34.32
S01,1,1.0,1.0,3.79,Main Straight,Sector 1,24.47,100.0,0.0,3797.0,0.5,390.62,34.38
S01,1,1.1,1.1,4.53,Main Straight,Sector 1,26.8,100.0,0.0,3987.0,0.8,390.46,34.45
S01,1,1.2,1.2,5.34,Main Straight,Sector 1,29.1,100.0,0.0,4174.0,0.8,389.6,34.52
S01,1,1.3,1.3,6.21,Main Straight,Sector 1,31.36,97.5,0.0,4359.0,1.0,390.99,34.59
S01,1,1.4,1.4,7.14,Main Straight,Sector 1,33.53,100.0,0.0,4536.0,0.0,390.02,34.67
S01,1,1.5,1.5,8.14,Main Straight,Sector 1,35.73,100.0,0.0,4716.0,2.1,389.62,34.76
S01,1,1.6,1.6,9.19,Main Straight,Sector 1,37.9,95.7,0.0,4892.0,-2.2,389.95,34.84
S01,1,1.7,1.7,10.3,Main Straight,Sector 1,39.92,100.0,0.0,5058.0,-0.4,389.22,34.93
S01,1,1.8,1.8,11.46,Main Straight,Sector 1,42.02,100.0,0.0,5229.0,0.5,388.93,35.03
S01,1,1.9,1.9,12.69,Main Straight,Sector 1,44.07,98.7,0.0,5396.0,-0.3,389.6,35.13
S01,1,2.0,2.0,13.97,Main Straight,Sector 1,46.06,100.0,0.0,5559.0,-0.5,389.04,35.24
S01,1,2.1,2.1,15.3,Main Straight,Sector 1,48.04,97.1,0.0,5720.0,2.1,389.28,35.34
S01,1,2.2,2.2,16.69,Main Straight,Sector 1,49.92,94.0,0.0,5874.0,1.6,389.41,35.45
S01,1,2.3,2.3,18.13,Main Straight,Sector 1,51.7,96.1,0.0,6019.0,-2.4,388.86,35.56
S01,1,2.4,2.4,19.61,Main Straight,Sector 1,53.5,100.0,0.0,6165.0,2.0,388.68,35.68
S01,1,2.5,2.5,21.15,Main Straight,Sector 1,55.33,100.0,0.0,6315.0,1.3,389.12,35.81
S01,1,2.6,2.6,22.73,Main Straight,Sector 1,57.12,100.0,0.0,6461.0,1.7,387.79,35.93
S01,1,2.7,2.7,24.37,Main Straight,Sector 1,58.88,100.0,0.0,6605.0,3.6,388.55,36.07
S01,1,2.8,2.8,26.05,Main Straight,Sector 1,60.6,100.0,0.0,6745.0,2.2,388.5,36.2
S01,1,2.9,2.9,27.78,Main Straight,Sector 1,62.28,100.0,0.0,6882.0,-0.6,388.36,36.34
S01,1,3.0,3.0,29.56,Main Straight,Sector 1,63.92,100.0,0.0,7016.0,1.4,386.84,36.48
S01,1,3.1,3.1,31.38,Main Straight,Sector 1,65.52,100.0,0.0,7147.0,1.0,388.72,36.63
S01,1,3.2,3.2,33.24,Main Straight,Sector 1,67.09,100.0,0.0,7274.0,-2.3,388.12,36.78
S01,1,3.3,3.3,35.15,Main Straight,Sector 1,68.62,97.5,0.0,7399.0,-0.0,388.29,36.92
S01,1,3.4,3.4,37.09,Main Straight,Sector 1,70.07,95.6,0.0,7518.0,-2.5,388.12,37.07
S01,1,3.5,3.5,39.08,Main Straight,Sector 1,71.45,100.0,0.0,7631.0,-1.8,387.59,37.23
S01,1,3.6,3.6,41.1,Main Straight,Sector 1,72.88,99.9,0.0,7747.0,-2.7,387.63,37.39
S01,1,3.7,3.7,43.17,Main Straight,Sector 1,74.27,100.0,0.0,7860.0,-0.8,387.1,37.55
S01,1,3.8,3.8,45.27,Main Straight,Sector 1,75.62,98.6,0.0,7971.0,-0.2,387.54,37.71
S01,1,3.9,3.9,47.4,Main Straight,Sector 1,76.92,100.0,0.0,8077.0,0.7,386.83,37.88
S01,1,4.0,4.0,49.58,Main Straight,Sector 1,78.2,98.8,0.0,8181.0,-1.3,387.08,38.05
S01,1,4.1,4.1,51.78,Main Straight,Sector 1,79.44,98.7,0.0,8282.0,0.1,386.52,38.22
S01,1,4.2,4.2,54.02,Main Straight,Sector 1,80.64,99.4,0.0,8380.0,2.1,388.09,38.39
S01,1,4.3,4.3,56.3,Main Straight,Sector 1,81.82,99.9,0.0,8477.0,1.3,386.53,38.57
S01,1,4.4,4.4,58.6,Main Straight,Sector 1,82.98,99.6,0.0,8571.0,-1.3,386.63,38.74
S01,1,4.5,4.5,60.94,Main Straight,Sector 1,84.1,100.0,0.0,8662.0,-1.5,386.37,38.93
S01,1,4.6,4.6,63.3,Main Straight,Sector 1,85.19,98.0,0.0,8752.0,2.4,386.36,39.1
S01,1,4.7,4.7,65.7,Main Straight,Sector 1,86.23,99.9,0.0,8836.0,-1.9,386.95,39.29
S01,1,4.8,4.8,68.12,Main Straight,Sector 1,87.27,99.6,0.0,8921.0,-0.7,385.47,39.47
S01,1,4.9,4.9,70.57,Main Straight,Sector 1,88.27,100.0,0.0,9003.0,-2.2,386.55,39.66
S01,1,5.0,5.0,73.05,Main Straight,Sector 1,89.25,99.2,0.0,9083.0,-3.3,386.43,39.85
S01,1,5.1,5.1,75.56,Main Straight,Sector 1,90.19,98.5,0.0,9160.0,-3.1,385.64,40.04
S01,1,5.2,5.2,78.09,Main Straight,Sector 1,91.1,99.5,0.0,9234.0,-0.1,385.91,40.23
S01,1,5.3,5.3,80.65,Main Straight,Sector 1,92.0,100.0,0.0,9307.0,-1.0,386.42,40.43
S01,1,5.4,5.4,83.23,Main Straight,Sector 1,92.87,98.9,0.0,9378.0,0.5,386.62,40.62
S01,1,5.5,5.5,85.83,Main Straight,Sector 1,93.71,99.9,0.0,9447.0,1.9,387.43,40.82
S01,1,5.6,5.6,88.45,Main Straight,Sector 1,94.53,97.2,0.0,9514.0,0.8,386.79,41.01
S01,1,5.7,5.7,91.1,Main Straight,Sector 1,95.31,100.0,0.0,9577.0,0.3,385.59,41.21
S01,1,5.8,5.8,93.77,Main Straight,Sector 1,96.08,98.9,0.0,9640.0,1.3,384.71,41.41
S01,1,5.9,5.9,96.46,Main Straight,Sector 1,96.83,99.2,0.0,9701.0,0.4,385.71,41.61
S01,1,6.0,6.0,99.17,Main Straight,Sector 1,97.55,95.9,0.0,9760.0,-1.3,386.42,41.8
S01,1,6.1,6.1,101.9,Main Straight,Sector 1,98.23,97.5,0.0,9815.0,-0.2,387.2,42.0
S01,1,6.2,6.2,104.65,Main Straight,Sector 1,98.9,100.0,0.0,9870.0,-0.3,385.78,42.21
S01,1,6.3,6.3,107.41,Main Straight,Sector 1,99.57,97.3,0.0,9925.0,-0.1,385.15,42.41
